ID,CATEGORY_ID,FILE_ID,FRAN_NAME,CREATED_AT
159,1,14,연운당,2025-11-03 16:31:47
160,1,14,운커피(雲커피),2025-11-03 16:31:47
161,1,14,청담커피,2025-11-03 16:31:47
162,1,14,리트웨이(LITWAY),2025-11-03 16:31:47
163,1,14,무니(mooni),2025-11-03 16:31:47
164,1,14,유로스커피 로스터스,2025-11-03 16:31:47
165,1,14,스모킹카페(Smoking cafe),2025-11-03 16:31:47
166,1,14,데일리커피,2025-11-03 16:31:47
167,1,14,카페뚤레,2025-11-03 16:31:47
168,1,14,콘레드커피,2025-11-03 16:31:47
169,1,14,카페바이피플,2025-11-03 16:31:47
170,1,14,요거트바이피플,2025-11-03 16:31:47
171,1,14,자몽자몽,2025-11-03 16:31:47
172,1,14,페이버리트(FAVORITE) 커피,2025-11-03 16:31:47
173,1,14,감성카페,2025-11-03 16:31:47
174,1,14,빅몬스터,2025-11-03 16:31:47
175,1,14,썬즈오렌지커피,2025-11-03 16:31:47
176,1,14,설래임,2025-11-03 16:31:47
177,1,14,카페바움(KAFFEE BAUM),2025-11-03 16:31:47
178,1,14,더바움(the BAUM),2025-11-03 16:31:47
179,1,72,오우가,2025-11-03 16:31:47
180,1,14,코타커피(Cotta Coffee),2025-11-03 16:31:47
181,1,73,카페리빈,2025-11-03 16:31:47
182,1,14,커피디엔에이로스팅컴퍼니,2025-11-03 16:31:47
183,1,14,태미원,2025-11-03 16:31:47
184,1,74,커피마마,2025-11-03 16:31:47
185,1,75,카페아이엠티,2025-11-03 16:31:47
186,1,76,빈스앤베리즈,2025-11-03 16:31:47
187,1,77,크레이저커피(C.Razer Coffee),2025-11-03 16:31:47
188,1,78,포트오브모카(Port of Mocha),2025-11-03 16:31:47
189,1,14,제로당(ZERODANG),2025-11-03 16:31:47
190,1,14,오토카페 (AUTO CAFE),2025-11-03 16:31:47
191,1,79,카페띠아모,2025-11-03 16:31:47
192,1,14,AWTA 에스프레소 바,2025-11-03 16:31:47
193,1,80,바리스텔라,2025-11-03 16:31:47
194,1,14,카페베네,2025-11-03 16:31:47
195,1,14,더츠커피,2025-11-03 16:31:47
196,1,14,핸델앤그레텔,2025-11-03 16:31:47
197,1,14,실바나스 Silvanas,2025-11-03 16:31:47
198,1,14,야한다방,2025-11-03 16:31:47
199,1,14,달쯔(DALZ),2025-11-03 16:31:47
200,1,14,디저트부티크엠,2025-11-03 16:31:47
201,1,14,여유한잔,2025-11-03 16:31:47
202,1,81,마린커피,2025-11-03 16:31:47
203,1,14,헤이트먼데이(HATE MONDAY),2025-11-03 16:31:47
204,1,14,9 BLOCK (나인블럭),2025-11-03 16:31:47
205,1,14,비마이프렌드,2025-11-03 16:31:47
206,1,14,글로리아진스커피,2025-11-03 16:31:47
207,1,14,스템 커피(STEM COFFEE),2025-11-03 16:31:47
208,1,82,카페보니또,2025-11-03 16:31:47
209,1,83,보니또커피,2025-11-03 16:31:47
210,1,14,마고스,2025-11-03 16:31:47
211,1,84,할리스,2025-11-03 16:31:47
212,1,14,디초콜릿커피,2025-11-03 16:31:47
213,1,14,디초콜릿커피앤드,2025-11-03 16:31:47
214,1,85,더노벰버 라운지,2025-11-03 16:31:47
215,1,14,카페폴,2025-11-03 16:31:47
216,1,14,델리뉴스,2025-11-03 16:31:47
217,1,86,주식회사 커피니,2025-11-03 16:31:47
218,1,14,하우스오브테디,2025-11-03 16:31:47
219,1,14,심풀,2025-11-03 16:31:47
220,1,14,카페보노,2025-11-03 16:31:47
221,1,14,고품격커피공장,2025-11-03 16:31:47
222,1,14,베민트 커피,2025-11-03 16:31:47
223,1,14,카페네스카페,2025-11-03 16:31:47
224,1,14,차일드큐브,2025-11-03 16:31:47
225,1,14,까사밍고,2025-11-03 16:31:47
226,1,14,주커피,2025-11-03 16:31:47
227,1,87,탐앤탐스커피(TOMNTOMS COFFEE),2025-11-03 16:31:47
228,1,14,메타킹 커피(METAKING COFFEE),2025-11-03 16:31:47
229,1,14,cafe ttoara,2025-11-03 16:31:47
230,1,88,커핀그루나루,2025-11-03 16:31:47
231,1,14,만월당,2025-11-03 16:31:47
232,1,14,생활커피,2025-11-03 16:31:47
233,1,89,감성커피,2025-11-03 16:31:47
234,1,90,에이미스커피(Amy&#39;s Coffee),2025-11-03 16:31:47
235,1,14,Cafe. OrganicDoctor(카페 오가닉 닥터),2025-11-03 16:31:47
236,1,91,더마스터커피,2025-11-03 16:31:47
237,1,14,C.&amp;tree coffee,2025-11-03 16:31:47
238,1,92,아마떼,2025-11-03 16:31:47
239,1,93,아덴블랑제리,2025-11-03 16:31:47
240,1,14,아덴플러스,2025-11-03 16:31:47
241,1,14,아덴블랑제리 시그니쳐,2025-11-03 16:31:47
242,1,14,chilling,2025-11-03 16:31:47
243,1,14,하겐커피,2025-11-03 16:31:47
244,1,14,"지브릭커피(G,BRICK COFFEE)",2025-11-03 16:31:47
245,1,14,시티카페(CITTICAFFE),2025-11-03 16:31:47
246,1,94,아리스타,2025-11-03 16:31:47
247,1,14,카페데베르,2025-11-03 16:31:47
248,1,95,PRABEAN,2025-11-03 16:31:47
249,1,14,아이스빌리지,2025-11-03 16:31:47
250,1,14,슈퍼오아시스,2025-11-03 16:31:47
251,1,14,누아커피(Nua Coffee),2025-11-03 16:31:47
252,1,14,아이빅쓰리커피앤드케이스(IBIG3 COFFEE&CASE),2025-11-03 16:31:47
253,1,14,카페홍(CAPHE HOANG),2025-11-03 16:31:47
254,1,14,타래커피1998,2025-11-03 16:31:47
255,1,14,"붕어네, 커피",2025-11-03 16:31:47
256,1,14,템푸스커피(Tempus coffee),2025-11-03 16:31:47
257,1,14,또리커피,2025-11-03 16:31:47
258,1,14,포인포카페,2025-11-03 16:31:47
259,1,14,DARA DARA(다라다라),2025-11-03 16:31:47
260,1,14,릴렉스라운지,2025-11-03 16:31:47
261,1,14,인재 36.5도 까페,2025-11-03 16:31:47
262,1,14,나인어클락커피,2025-11-03 16:31:47
263,1,96,Every Coffee(에브리커피),2025-11-03 16:31:47
264,1,14,봉명동내커피,2025-11-03 16:31:47
265,1,14,킁킁커피,2025-11-03 16:31:47
266,1,14,카페로즈비카,2025-11-03 16:31:47
267,1,97,STORANT(스토랑트),2025-11-03 16:31:47
268,1,14,쿠키프렌즈카페 (Cookie Friends Cafe),2025-11-03 16:31:47
269,1,14,봉리단길,2025-11-03 16:31:47
270,1,14,bet Hold&#39;em(벳홀덤),2025-11-03 16:31:47
271,1,14,별난커피,2025-11-03 16:31:47
272,1,98,펠어커피초코,2025-11-03 16:31:47
273,1,14,우밀타(宇milta),2025-11-03 16:31:47
274,1,14,꺼내먹어요,2025-11-03 16:31:47
275,1,14,추억만들기,2025-11-03 16:31:47
276,1,14,Mr.toast(미스터토스트),2025-11-03 16:31:47
277,1,14,커피볶는집,2025-11-03 16:31:47
278,1,14,카페콘페스타,2025-11-03 16:31:47
279,1,99,커스텀커피,2025-11-03 16:31:47
280,1,14,카페메르쎄시,2025-11-03 16:31:47
281,1,14,두이모,2025-11-03 16:31:47
282,1,14,카페발리361(CAFE BALI 361),2025-11-03 16:31:47
283,1,14,109커피,2025-11-03 16:31:47
284,1,14,generus coffee(제너러스커피),2025-11-03 16:31:47
285,1,14,말리커피,2025-11-03 16:31:47
286,1,100,소미담,2025-11-03 16:31:47
